Description,completion_date
Mitsubishi,2019-05-24
Hyundai,2019-03-27
Rolls-Royce,2019-04-23
Jeep,2020-01-20
Pontiac,2019-03-31
Pontiac,2019-03-23
Toyota,2020-01-21
Infiniti,2019-03-08
Nissan,2019-03-09
Chevrolet,2019-04-12
Toyota,2020-01-06
Acura,2019-03-27
Ford,2019-09-25
Hyundai,2019-10-29
Chrysler,2019-08-13
Acura,2019-11-30
Audi,2019-11-20
Lincoln,2019-04-22
Kia,2019-10-20
Volvo,2019-03-13
Chevrolet,2020-01-31
Pontiac,2019-12-23
Jeep,2019-08-20
Studebaker,2019-10-12
Mazda,2019-02-25
Dodge,2019-07-15
Audi,2019-05-01
Mercury,2019-08-29
Infiniti,2019-09-09
Ford,2019-07-23
Nissan,2019-04-19
Volkswagen,2019-05-25
Land Rover,2019-03-21
Ford,2019-09-16
Toyota,2019-06-24
Nissan,2019-04-23
Ford,2019-11-27
GMC,2019-02-20
Toyota,2020-01-18
Nissan,2019-03-26
Mercury,2019-06-03
GMC,2019-02-10
Mercedes-Benz,2019-02-20
Infiniti,2019-10-17
Jaguar,2019-11-20
Nissan,2019-02-01
Plymouth,2019-04-16
Dodge,2019-04-15
Volvo,2019-03-15
Toyota,2019-10-28
